"word","topic_index","weight"
"armas",3,0.038192123506232675
"dedos",10,0.03785846024486765
"vestidos",26,0.037763297421176775
"pan",12,0.037633669800637495
"francés",0,0.03730737749631184
"lucha",31,0.03704625145961266
"ejército",2,0.03647619403804019
"casas",6,0.03643188915143461
"rostro",7,0.03637687414855818
"gritó",21,0.036009115705058665
"aguas",33,0.0359426547517631
"alimento",12,0.035940596962819614
"sancho",40,0.035738208622002804
"triste",39,0.03563395946024661
"doña",22,0.034787023768183246
"lector",29,0.03455196155990362
"rodrigo",40,0.03454039538367796
"fusil",3,0.03403026499997304
"juan",40,0.033387699824051424
"bala",3,0.03317497806729723
"artillería",3,0.032620388651900756
"prisa",30,0.031775948277715904
"ninguna",32,0.031766006281032114
"española",4,0.03159121059093912
"comida",12,0.03152435668864362
"morir",1,0.030970539957809223
"grito",21,0.030558575937854236
"bretaña",25,0.03050314471835847
"bromas",17,0.03028629807493732
"manuela",40,0.03025180337066639
"risa",17,0.03024026557511383
"arroyo",33,0.030184632926192122
"balas",3,0.03015993670630986
"manos",10,0.030155185755947386
"tiros",3,0.030122009089304163
"ríos",33,0.029860041995469204
"gritar",21,0.02982593681993588
"lectura",29,0.029787094300305187
"español",4,0.029123645312383487
"mano",10,0.0290901872153113
"leer",29,0.029074761609851847
"militar",2,0.028170206495987147
"inglesas",25,0.02743885179436946
"ataque",15,0.02741783388013669
"prendas",26,0.027245062728477185
"muchachas",19,0.026893999557788904
"casamiento",27,0.02650518779368617
"soldado",2,0.02630157002771593
"francia",0,0.026271899068247985
"temiendo",43,0.0260271346598626
"niñas",19,0.02595653936055769
"spíritus",40,0.025953656487648177
"fusiles",3,0.02595330217345594
"sueños",24,0.02583899320682962
"abrió",49,0.025838807835372693
"combates",31,0.025700599463597262
"ironía",17,0.025611739472999974
"ríe",17,0.025604595673551608
"dormido",24,0.025408430058971757
"dormí",24,0.025356275825955267
"tropas",2,0.025232957225185353
"leído",29,0.025105462901001848
"francesa",0,0.024876498389268305
"sancti",40,0.0247909691069714
"felipe",40,0.02464310392155707
"infelices",39,0.02447005511532161
"tropa",2,0.02444165076071934
"jamás",32,0.024273150440881627
"llamas",8,0.024216510444889535
"ningún",32,0.02410687943958953
"arma",3,0.024106185177264355
"novelas",29,0.02373645848079891
"plaza",40,0.023682461067645925
"muertos",1,0.023668992937018518
"enemiga",15,0.023599640987711345
"casará",27,0.02356016692772104
"cabalgadura",28,0.023152227786827066
"vestir",26,0.022960975304669513
"boda",27,0.02286088815825138
"trajes",26,0.02271508346324562
"leyendo",29,0.022512365310164525
"duermo",24,0.022352097067778284
"cañones",3,0.022338160830683098
"broma",17,0.022330555688359618
"caballerías",28,0.022330361217870017
"incendio",8,0.021991099789160657
"pagar",42,0.021709275050250023
"reírse",17,0.021626988239968663
"damas",38,0.02153127238902512
"hoguera",8,0.021279794589954448
"ejércitos",2,0.020918421010212723
"toro",5,0.020879691123465792
"ahorros",42,0.020712671944962877
"muerto",1,0.020538668864216434
"esgrima",5,0.020453273352491228
"tampoco",32,0.020444772389935487
"madrileños",13,0.02014407613341149
"biblioteca",29,0.02012250421442297
"tristes",39,0.020111897994904763
"defensa",15,0.019990675968315115
"temía",43,0.019900988327086172
"mulas",28,0.019849209971440015
"gritaban",21,0.019813416332125532
